реальные_показатели,предсказанные_показатели
0.17,0.14100000000000004
0.14,0.14329999999999993
0.15,0.13349999999999998
0.1,0.12650000000000008
0.16,0.15579999999999986
0.12,0.11299999999999998
0.12,0.14970000000000006
0.2,0.11749999999999991
0.16,0.15610000000000013
0.13,0.15200000000000016
0.14,0.14780000000000013
0.17,0.13439999999999988
0.14,0.15030000000000007
0.12,0.13660000000000005
0.14,0.15930000000000008
0.11,0.13529999999999998
0.16,0.17289999999999991
0.11,0.13640000000000005
0.13,0.14300000000000007
0.12,0.11659999999999991
0.13,0.10679999999999996
0.14,0.14959999999999993
0.18,0.1745999999999999
0.16,0.15099999999999997
0.2,0.1436
0.2,0.1585
0.11,0.12979999999999994
0.13,0.13059999999999988
0.17,0.16419999999999998
0.16,0.13589999999999988
0.1,0.14160000000000006
0.11,0.14379999999999993
0.2,0.13960000000000006
0.1,0.13590000000000008
0.15,0.15550000000000008
0.11,0.14070000000000002
0.09,0.11780000000000009
0.04,0.1349999999999999
0.2,0.1510999999999998
0.09,0.1359
0.23,0.16209999999999986
0.23,0.17379999999999982
0.18,0.14550000000000013
0.14,0.1455999999999999
0.14,0.15630000000000016
0.13,0.1371000000000001
0.2,0.13789999999999997
0.14,0.1384
0.12,0.1432000000000002
0.11,0.12459999999999999
0.19,0.15579999999999994
0.15,0.15680000000000016
0.08,0.10940000000000005
0.09,0.09139999999999997
0.14,0.16150000000000006
0.15,0.1129999999999999
0.11,0.13919999999999996
0.17,0.16839999999999988
0.2,0.14710000000000004
0.19,0.16270000000000004
0.14,0.14339999999999992
0.1,0.10439999999999994
0.13,0.14110000000000006
0.19,0.15529999999999997
0.12,0.1257999999999999
0.13,0.15349999999999997
0.16,0.15499999999999992
0.14,0.10909999999999996
0.16,0.16969999999999985
0.13,0.1288000000000001
0.18,0.12849999999999992
0.12,0.15979999999999997
0.06,0.08980000000000005
0.17,0.14479999999999987
0.04,0.14789999999999998
0.11,0.12029999999999992
0.2,0.1714
0.15,0.13910000000000003
0.11,0.1349
0.17,0.1456000000000001
0.12,0.11889999999999992
0.14,0.12350000000000001
0.12,0.11199999999999992
0.12,0.13389999999999985
0.14,0.15830000000000002
0.09,0.12799999999999992
0.17,0.1460000000000001
0.14,0.14409999999999998
0.18,0.14429999999999998
0.17,0.14490000000000003
0.18,0.1898999999999999
0.1,0.12019999999999985
0.14,0.1326
0.09,0.11690000000000003
0.15,0.1214
0.12,0.15910000000000013
0.15,0.15710000000000013
0.17,0.12899999999999998
0.2,0.17819999999999994
0.1,0.10709999999999996
0.2,0.19820000000000007
0.13,0.14670000000000002
0.11,0.13579999999999987
0.08,0.13890000000000013
0.07,0.11209999999999995
0.1,0.11979999999999999
0.19,0.16389999999999993
0.15,0.1427000000000001
0.15,0.15310000000000007
0.12,0.12289999999999993
0.12,0.13000000000000017
0.18,0.15649999999999983
0.12,0.12419999999999998
0.13,0.13570000000000002
0.2,0.16480000000000003
0.08,0.11459999999999995
0.17,0.13370000000000007
0.19,0.1696999999999999
0.14,0.14970000000000006
0.18,0.15899999999999986
0.2,0.15940000000000001
0.12,0.12389999999999997
0.09,0.10119999999999992
0.15,0.1476999999999999
0.17,0.17069999999999996
0.25,0.1583999999999998
0.19,0.1490000000000001
0.2,0.18369999999999986
0.13,0.1587
0.13,0.13260000000000008
0.1,0.13049999999999995
0.15,0.12950000000000006
0.06,0.1001999999999999
0.11,0.1376000000000001
0.13,0.14990000000000006
0.16,0.15969999999999993
0.11,0.1311
0.2,0.16889999999999994
0.09,0.10399999999999995
0.1,0.12419999999999996
0.13,0.12480000000000002
0.14,0.1523000000000001
0.13,0.12779999999999994
0.12,0.1532000000000001
0.13,0.13559999999999986
0.16,0.14580000000000015
0.14,0.15500000000000003
0.16,0.13919999999999985
0.12,0.11600000000000002
0.17,0.14540000000000008
0.16,0.16270000000000004
0.18,0.16649999999999987
0.07,0.0963999999999999
0.12,0.13319999999999996
0.11,0.12739999999999996
0.16,0.17269999999999994
0.13,0.1704
0.16,0.15950000000000003
0.13,0.13269999999999996
0.11,0.10199999999999992
0.2,0.1305999999999999
0.14,0.1319
0.11,0.12469999999999994
0.13,0.14659999999999995
0.14,0.1267
0.11,0.1440000000000001
0.1,0.09320000000000002
0.16,0.1628
0.11,0.15259999999999999
0.15,0.15539999999999995
0.09,0.09659999999999998
0.16,0.10869999999999999
0.14,0.13349999999999995
0.16,0.14430000000000015
0.13,0.1427000000000001
0.08,0.11129999999999995
0.08,0.12109999999999993
0.14,0.1647
0.11,0.15299999999999997
0.12,0.11829999999999996
0.11,0.1330000000000001
0.19,0.18630000000000013
0.2,0.17470000000000002
0.1,0.13040000000000002
0.13,0.10999999999999999
0.1,0.1352999999999999
0.18,0.1398
